Cr.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
gȑoce / gr̠oce,*gu̠r˙dlika,*gu̠r˙dlit´a,*gu̠r˙dlit´e,,,,,,,,,,,,,,*gu̠r˙dlice,,,*gu̠r˙lice,,,,,,*gъ̠r˙lьce,,*g r̠˙lьce,,,,,,,,,,,,,,,,*gr̠lьce,,,,,,*gr̠lce,,,,,,,,,,,,,,,gr̠oce,,,,,,,
gúmno / gū̠.mno,*gawmi̠na,,,*gōmi̠na,,,,,,,,,*gōmina̠,,,,,(*gō˙mina̠ >) *gūmina̠,,,,,,*gūmino̠,,*gūmьno̠,,,,,,,,,,,,,,,,,,,,,,,,*gūmno̠,,,,,,,,,,,,,,,,,,,,gū̠.mno,,
gvȍžden / gvo̠žden (17. Jh.) ‘eisern’,*gwazdjenu,,,,,,*gβazdjenu,,,,,,,,,,,,,,,,,*gβozdjenu,,*gβozdjenъ,,,,,*gβo̠zdjenъ,,,*gβo̠žd´enъ,,,,,,*gβo̠žd´enь,,,,,,,,*gβo̠ždenь,,*gβo̠žden,,,,,,,,,,,,,,,,,,,,,gvo̠žden (17. Jh.) ‘eisern’,
hòću / xo̠.ću,*xa̠tjān,,*xa̠tjēn,,*xa̠tjān,,,,,,,,*xatjā̠n,,,,,,,,,,*xatja̠n,*xotjo̠n,,,,,*xotj̠ō˛,,,*xotj̠o˛,,"*xot´̠o˛ (die Kortlandtsche Ersatzdehnung wurde in Analogie etwa zu ursl. *ma̠gān > kr. mo̠.gu wieder rückgängig gemacht, daher wirkte auch das Erste Ivšićsche Gesetz, § 36, nicht)",,,,,,,,,,,,,,,*xot´u̠ (vgl. čak. xoću̠),,,,,,,,,,,,,,,,,,,,,*xo̠.t´u,,xo̠.ću
Hr̀vāt : Hrváti / Xr̠.vāt : Xr-vā̠.ti,N sg. *Xruwā̠tu : N pl. *Xru-wā̠tuj,,,*Xruwā̠tu : *Xruwā̠tī,,,*Xruβā̠tu : *Xruβā-̠tī,,,,,,*Xruβātu̠ : *Xruβā̠tī̠,,,,,,,,,,,,,*Xrъβātъ̠ : *Xrъβā̠tī̠,,*Xrβātъ̠ : *Xrβā̠tī̠,,,,*Xrβātъ̠ : *Xrβā-̠ti̠,,,,,,*Xrβā̠·tъ : *Xrβā̠ti̠,,*Xrβā̠·tь : *Xrβā̠ti̠,,,,,,,,,,*Xr-βā̠·t : *Xrβāti̠,,,,,,,,,,,,,,,,,,,*Xrβā̠t : *Xrβāti̠,*Xr̠.βāt : *Xrβā̠.ti,Xr̠.vāt : Xr-vā̠.ti,
"ìgra / i̠.gra (A sg. i̠gru, aber čak. und russ. igru̠)",*i̠grā˙,,,,,,,,,,,,*igrā̠˙,,,,,,,,,*jigrā̠˙,,,,*jьgrā̠˙,,,,,,*jьgra̠,,,,,,,,,*igra̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"i̠.gra (A sg. i̠gru, aber čak. und russ. igru̠)",,
ìmati / i̠.mati,*imā̠˙tēj,,,*imā̠˙tī,,,,,,,,,,,,,,,,,,*jimā̠˙tī,,,,*jьmā̠˙tī,,,,,,*jьmā̠˙ti,,,,,,,,,*imā̠˙ti,,,*ima̠ti,,,,,,,,,,,,,,,,,,,,,,,,,,i̠.mati,,
ȉva / i̠va ‘Salix caprea’,*e̠j˙wā˙,,,*ī̠˙wā˙,,,*ī̠˙βā˙,,,,,,,,,,,,,,,,,,,,,,,,,*ī̠˙βa,,,,,,,,,,,,*i̠βa,,,,,,,,,,,,,,,,,,,,,,,,,,,i̠va ‘Salix caprea’,
"j`àvōr / ja̠vōr, G sg. ja̠vora",*ā̠˙waru,,,,,,*ā̠˙βaru,,,,,,,,,,,,,,,*jā̠˙βaru,,*jā̠˙βoru,,*jā̠˙βorъ,,,,,,,,,,,,,,*jā̠˙βorь,,,,*ja̠βorь,,,,,,*ja̠βor (vgl. ja̠vor auf Vrga-da),,,,,,,*ja̠βōr,,,,,,,,,,,,,,"ja̠vōr, G sg. ja̠vora",
jèlen / je̠.len,*e̠leni,,,,,,,,,,,,*ele̠ni,,,,,,,,,*jele̠ni,,,,*jele̠nь,,,,,,,,,,,,,,,,,,,,,,,,*jele̠n,,,,,,,,,,,,,,,,,,,,je̠.len,,
