Ru.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,cf,loanwords
вo̠лос / vo̠ləs,*wal˙su,,,,,,,,,,,,*walsu,,,,,,,,,,*walasu,*wolosu,,,,*wolosъ,,,,,,,*wolosъ1,,,,,,,,,,,,,,*wolos,,,,,*wo̠los,,*vo̠los,,,,,,,,,,,,vo̠ləs,,,,,vgl. волo̠с,
волo̠с / vʌlo̠s,*wal˙su̠,,,,,,,,,,,,*walsu̠,,,,,,,,,,*walasu̠,*wolosu̠,,,,*wolosъ̠,,,,,,,*wolosъ̠1,,*wolo̠sъ1,,,,,,,,*wolô̠sъ1,,,,*wolô̠s,,,,,,,*volô̠s,,,,,,,,,,,,*vʌlô̠s,,,,vʌlo̠s,vgl. вo̠лос,
вo̠лость / vo̠ləsʼtʼ,*walsti,,,,,,,,,,,,,,,,,,,,,,*walasti,*wolosti,,,,*wolostь,,,,*wolostʼь,,,*wolostʼь1,,,,,,,,,,,,,,*wolostʼ,,,,,*wo̠lostʼ,,*vo̠lostʼ,,,,,,*vo̠losʼtʼ,,,,,,vo̠ləsʼtʼ,,,,,,"Nach § 22, aber vor § 23 entlehnt ist finn. vaalasti."
вo̠льха / vo̠lʼxə,*a̠lixā˙,,,,,,,,,,,*ali̠xā˙,*ali̠xā,,,,,,,,,,,*oli̠xā,,,,*olь̠xā,*olь̠xa,,,*olʼь̠xa,,,*olʼь̠1xa,,*o̠lʼь1xa,,,,,,,,*ô̠lʼь1xa,,,,*ô̠lʼxa,,,,,,*wô̠lʼxa,*vô̠lʼxa,,,,,,,,,,,,*vô̠lʼxə,,,,vo̠lʼxə,,
вo̠ля / vo̠lʼɪ,*wa̠ljā˙,,,,,,,,,,,*waljā̠˙,,,,,,,*walˊjā̠˙,,,,,*wolˊjā̠˙,,,,,*wolˊja̠,*wolˊā̠,,,,,,*wo̠lˊā,,,,,,,,,*wô̠lˊā,,,,,,,*wô̠lʼā,,,,*vô̠lʼā,,,,,,,,,,*vô̠lʼa,,*vô̠lʼɪ,,,,vo̠lʼɪ,,
воробe̠й / vərʌbʼe̠j,*warbi̠ju,,*warbi̠ji,,,,,,,,,*warbiji̠,,,,,,,,,,,*warabiji̠,*worobiji̠,,,,*worobьjь̠,,,,*worobʼьjь̠,,,*worobʼь2jь̠1,,*worobʼь̠2jь1,,,,,,,,,,,,*worobʼь̠2j,,,,*worobʼe̠j,,,*vorobʼe̠j,,,,,,,,,,,,vərʌbʼe̠j,,,,,,Vor § 22 und § 23 entlehnt ist finn. varpu.
вoрo̠на / vʌro̠nə,*wa̠r˙nā˙,,,,,,,,,,,,*wa̠r˙nā,,,,,,,,,,*wara̠nā,*woro̠nā,,,,,*woro̠na,,,,,,,,,,,,,,,,*worô̠na,,,,,,,,,,,*vorô̠na,,,,,,,,,,,,*vʌrô̠nə,,,,vʌro̠nə,,
вo̠спа / vo̠spə,*a̠supā˙,,,,,,,,,,,*asu̠pā˙,*asu̠pā,,,,,,,,,,,*osu̠pā,,,,*osъ̠pā,*osъ̠pa,,,,,,*osъ̠1pa,,*o̠sъ1pa,,,,,,,,*ô̠sъ1pa,,,,*ô̠spa,,,,,,*wô̠spa,*vô̠spa,,,,,,,,,,,,*vô̠spə,,,,vo̠spə,,
вo̠тчина / vo̠tčinə,*a̠tičī˙nā˙,,,,,,,,,,,*ati̠čī˙nā˙,*ati̠čīnā,,,,,,,,,,,*oti̠čīnā,,,,*otь̠čīnā,*otь̠čīna,,,*otʼь̠čīna,,,*otʼь̠1čīna,,*o̠tʼь1čīna,,,,,,,,*ô̠tʼь1čīna,,,,*ô̠tʼčīna,,,,,,*wô̠tčīna,*vô̠tčīna,,,,,,,,,,*vô̠tčina,,*vô̠tčinə,,,,vo̠tčinə,"vgl. отe̠ц, отцa̠",
всё̠ / fʼsʼo̠,*wi̠xa,*wi̠śa,*wi̠śe,,,,,,,*wi̠sʼe,,*wisʼe̠,,,,,,,,,,,,,,,,*wьsʼe̠,,,,*wʼьsʼe̠,,,*wʼь1sʼe̠,,,,,,,,,,,,,,*wʼsʼe̠,,,,,,,*vʼsʼe̠,,,,*vʼsʼo̠,,fʼsʼo̠,,,,,,,,,,,,
вскрo̠ю / fskro̠ju,*wuskrū̠˙jān,,,,,,,,,,,,,,,*wuskrū̠˙jan,,*wuskrȳ̠˙jan,,,,,,*wuskrȳ̠˙jon,,*wuskrȳ̠˙jǭ,,*wъskrȳ̠˙jǭ,*wъskrȳ̠˙jǫ,,,,*wъskrȳ̠˙jọ,,*wъ1skrȳ̠˙jọ,,,*wъ1skrȳ̠jọ,*wъ1skrȳ̠ju,,*wъ1skrъ̠2ju,,,,,,,,*wskrъ̠2ju,,,,*wskro̠ju,,,*vskro̠ju,fskro̠ju,,,,,,,,,,,,,,,,vgl. вскры̠ть,
вскры̠ть / fskry̠tʼ,*wuskrū̠˙tēj,,,*wuskrū̠˙tẹ̄,,,*wuskrū̠˙tī,,,,,,,,,,,*wuskrȳ̠˙tī,,,,,,,,,,*wъskrȳ̠˙tī,*wъskrȳ̠˙ti,,,*wъskrȳ̠˙tʼi,,,*wъ1skrȳ̠˙tʼi,,,*wъ1skrȳ̠tʼi,,,,,,,,,,,*wskrȳ̠tʼi,,,,,,,*vskrȳ̠tʼ,*fskrȳ̠tʼ,,,,,,,,,fskry̠tʼ,,,,,,,vgl. вскрo̠ю,
вчерa̠ / fʼčɪra̠,*wičerā̠˙,,,,,,,,,,,,,,,,,,,,,,,,,,,*wьčerā̠˙,*wьčera̠,,,*wʼьčera̠,,,*wʼь1čera̠,,,,,,,,,,,,,,*wʼčera̠,,,,,,,*vʼčera̠,*fʼčera̠,,,,,,,,,,,fʼčɪra̠,,,,,,
вы̠ / vy̠,*wū˙,,,,,,,,,,,,*wū,,,,,*wȳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*wȳ̠,,*vȳ̠,,,,,,,,,,vy̠,,,,,,,,
вы̠дра / vy̠drə,*ū̠˙drā˙,,,,,*wū̠˙drā˙,,,,,,,*wū̠˙drā,,,,,*wȳ̠˙drā,,,,,,,,,,,*wȳ̠˙dra,,,,,,,,,*wȳ̠dra,,,,,,,,,,,,,,,,,,*vȳ̠dra,,,,,,,,,,*vy̠dra,,vy̠drə,,,,,,
высокo̠ / vysʌko̠,*ūsa̠ka,,,,,*wūsa̠ka,,,,,,*wūsaka̠,,,,,,*wȳsaka̠,,,,,,*wȳsoko̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*vȳsoko̠,,,,,,,,,,*vysoko̠,,vysʌko̠,,,,,,
гa̠чи / ga̠či,*gā̠˙tjū,,*gā̠˙tjī,,,,,,,,,,,,,,,,*gā̠˙tˊjī,,,*gā̠˙čjī,,,,,,,*gā̠˙čji,*gā̠˙či,,,,,,,,*gā̠či,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga̠či,,,,,,,,"Möglicherweise vor § 18, sicher aber vor § 29 entlehnt ist finn. kaatio. Nach § 18 und nach § 21 entlehnt ist est. kaats."
гo̠вор / go̠vər,*gawaru,,,,,,,,,,,,,,,,,,,,,,,*goworu,,,,*goworъ,,,,,,,*goworъ1,,,,,,,,,,,,,,*gowor,,,,,*go̠wor,,*go̠vor,,,,,,,,,,,,go̠vər,,,,,,
головa̠ / gəlʌva̠,*gal˙wā̠˙,,,,,,,,,,,,*galwā̠˙,,,,,,,,,,*galawā̠˙,*golowā̠˙,,,,,*golowa̠,,,,,,,,,,,,,,,,,,,,,,,,,,,*golova̠,,,,,,,,,,,,gəlʌva̠,,,,,"vgl. гo̠лову, нa̠голову",
